Data,Negozio,Prodotto,Quantità,Prezzo_unitario
2023-09-01,Milano,Smartphone,5,499.99
2023-09-02,Roma,Laptop,2,899.50
2023-09-03,Napoli,TV,1,1199.00
2023-09-04,Torino,Tablet,4,299.99
2023-09-05,Milano,Laptop,3,999.00
2023-09-06,Roma,Smartphone,6,549.90
2023-09-07,Bologna,TV,2,899.00
2023-09-08,Firenze,Cuffie,10,79.99
2023-09-09,Napoli,Smartphone,4,479.00
2023-09-10,Milano,Smartwatch,5,199.99
2023-09-11,Roma,Tablet,3,329.00
2023-09-12,Torino,Laptop,1,1299.00
2023-09-13,Genova,TV,2,999.99
2023-09-14,Bologna,Smartphone,7,459.00
2023-09-15,Firenze,Laptop,2,899.99
2023-09-16,Milano,Cuffie,12,69.90
2023-09-17,Roma,Smartwatch,4,249.00
2023-09-18,Napoli,Tablet,5,279.99
2023-09-19,Torino,Smartphone,3,519.00
2023-09-20,Genova,Laptop,2,949.50
2023-09-21,Bologna,TV,1,1399.00
2023-09-22,Firenze,Smartphone,6,489.99
2023-09-23,Milano,Tablet,4,349.00
2023-09-24,Roma,Cuffie,15,59.99
2023-09-25,Napoli,Smartwatch,3,229.00
2023-09-26,Torino,TV,2,1099.00
2023-09-27,Genova,Smartphone,5,499.00
2023-09-28,Bologna,Laptop,1,1199.99
2023-09-29,Firenze,Tablet,6,319.00
2023-09-30,Milano,TV,2,999.00
